word,sound,numbering
时间,shíjiān,1
价格,jiàgé,2
电话,diànhuà,3
世界,shìjiè,4
以上,yǐshàng,5
商品,shāngpǐn,6
时代,shídài,7
作品,zuòpǐn,8
必要,bìyào,9
自然,zìrán,10
使用,shǐyòng,11
音乐,yīnyuè,12
生活,shēnghuó,13
问题,wèntí,14
可能,kěnéng,15
关系,guānxì,16
现在,xiànzài,17
大学,dàxué,18
利用,lìyòng,19
效果,xiàoguǒ,20
部分,bùfen,21
方法,fāngfǎ,22
营业,yíngyè,23
情报,qíngbào,24
特别,tèbié,25
希望,xīwàng,26
文化,wénhuà,27
技术,jìshù,28
基本,jīběn,29
意味,yìwèi,30
自动,zìdòng,31
内容,nèiróng,32
自由,zìyóu,33
简单,jiǎndān,34
中心,zhōngxīn,35
最近,zuìjìn,36
参加,cānjiā,37
结婚,jiéhūn,38
一般,yìbān,39
社会,shèhuì,40
保险,bǎoxiǎn,41
学校,xuéxiào,42
开发,kāifā,43
先生,xiānsheng,44
程度,chéngdù,45
大会,dàhuì,46
发表,fābiǎo,47
印象,yìnxiàng,48
结果,jiéguǒ,49
存在,cúnzài,50
最初,zuìchū,51
装备,zhuāngbèi,52
消费,xiāofèi,53
采用,cǎiyòng,54
全体,quántǐ,55
飞行,fēixíng,56
国际,guójì,57
企业,qǐyè,58
专门,zhuānmén,59
中央,zhōngyāng,60
普通,pǔtōng,61
经济,jīngjì,62
现代,xiàndài,63
当时,dāngshí,64
实际,shíjì,65
学生,xuésheng,66
银行,yínháng,67
旅行,lǚxíng,68
以下,yǐxià,69
说明,shuōmíng,70
感觉,gǎnjué,71
经验,jīngyàn,72
活跃,huóyuè,73
代表,dàibiǎo,74
通信,tōngxìn,75
主人,zhǔrén,76
安心,ānxīn,77
以外,yǐwài,78
表现,biǎoxiàn,79
意识,yìshí,80
非常,fēicháng,81
活动,huódòng,82
运动,yùndòng,83
新闻,xīnwén,84
理由,lǐyóu,85
指导,zhǐdǎo,86
实现,shíxiàn,87
家庭,jiātíng,88
变化,biànhuà,89
位置,wèizhì,90
种类,zhǒnglèi,91
完全,wánquán,92
资料,zīliào,93
同时,tóngshí,94
个人,gèrén,95
政治,zhèngzhì,96
完成,wánchéng,97
设计,shèjì,98
表示,biǎoshì,99
艺术,yìshù,100
发行,fāxíng,101
决定,juédìng,102
重要,zhòngyào,103
评价,píngjià,104
是非,shìfēi,105
方式,fāngshì,106
有名,yǒumíng,107
制品,zhìpǐn,108
当然,dāngrán,109
目的,mùdì,110
材料,cáiliào,111
时期,shíqī,112
注意,zhùyì,113
传统,chuántǒng,114
以前,yǐqián,115
处理,chǔlǐ,116
能力,nénglì,117
方向,fāngxiàng,118
交通,jiāotōng,119
读者,dúzhě,120
丰富,fēngfù,121
季节,jìjié,122
世纪,shìjì,123
构成,gòuchéng,124
原因,yuányīn,125
食品,shípǐn,126
直接,zhíjiē,127
平均,píngjūn,128
美术,měishù,129
教育,jiàoyù,130
事业,shìyè,131
事实,shìshí,132
文字,wénzì,133
事件,shìjiàn,134
请求,qǐngqiú,135
对象,duìxiàng,136
安定,āndìng,137
安全,ānquán,138
管理,guǎnlǐ,139
以来,yǐlái,140
选择,xuǎnzé,141
诞生,dànshēng,142
地区,dìqū,143
指挥,zhǐhuī,144
女子,nǚzǐ,145
地方,dìfāng,146
展开,zhǎnkāi,147
有效,yǒuxiào,148
成分,chéngfèn,149
构造,gòuzào,150
成功,chénggōng,151
精神,jīngshen,152
实施,shíshī,153
演出,yǎnchū,154
观测,guāncè,155
生产,shēngchǎn,156
理解,lǐjiě,157
出版,chūbǎn,158
调整,tiáozhěng,159
交换,jiāohuàn,160
前后,qiánhòu,161
少年,shàonián,162
费用,fèiyong,163
日常,rìcháng,164
作业,zuòyè,165
集中,jízhōng,166
小说,xiǎoshuō,167
全部,quánbù,168
现实,xiànshí,169
个性,gèxìng,170
比较,bǐjiào,171
表情,biǎoqíng,172
经营,jīngyíng,173
市场,shìchǎng,174
职业,zhíyè,175
不安,bù’ān,176
外国,wàiguó,177
各种,gèzhǒng,178
将来,jiānglái,179
战争,zhànzhēng,180
成长,chéngzhǎng,181
公园,gōngyuán,182
治疗,zhìliáo,183
自信,zìxìn,184
满足,mǎnzú,185
倾向,qīngxiàng,186
作家,zuòjiā,187
电子,diànzǐ,188
过去,guòqù,189
空间,kōngjiān,190
生命,shēngmìng,191
道路,dàolù,192
意见,yìjiàn,193
记忆,jìyì,194
操作,cāozuò,195
书店,shūdiàn,196
计算,jìsuàn,197
地球,dìqiú,198
责任,zérèn,199
目标,mùbiāo,200
左右,zuǒyòu,201
政府,zhèngfǔ,202
配合,pèihé,203
行动,xíngdòng,204
国民,guómín,205
文学,wénxué,206
感动,gǎndòng,207
新鲜,xīnxiān,208
地下,dìxià,209
形式,xíngshì,210
公开,gōngkāi,211
事故,shìgù,212
积极,jījí,213
制作,zhìzuò,214
天然,tiānrán,215
移动,yídòng,216
动物,dòngwù,217
不足,bùzú,218
科学,kēxué,219
太阳,tàiyáng,220
燃料,ránliào,221
工夫,gōngfu,222
数字,shùzì,223
工业,gōngyè,224
参考,cānkǎo,225
性格,xìnggé,226
实行,shíxíng,227
速度,sùdù,228
努力,nǔlì,229
理想,lǐxiǎng,230
机会,jīhuì,231
出发,chūfā,232
植物,zhíwù,233
豆腐,dòufu,234
记录,jìlù,235
详细,xiángxì,236
政权,zhèngquán,237
风景,fēngjǐng,238
报告,bàogào,239
建筑,jiànzhù,240
判断,pànduàn,241
反对,fǎnduì,242
业务,yèwù,243
自己,zìjǐ,244
少女,shàonǚ,245
知识,zhīshi,246
土地,tǔdì,247
保护,bǎohù,248
医疗,yīliáo,249
确实,quèshí,250
设备,shèbèi,251
基础,jīchǔ,252
宇宙,yǔzhòu,253
高原,gāoyuán,254
制度,zhìdù,255
本来,běnlái,256
姿势,zīshì,257
固定,gùdìng,258
团体,tuántǐ,259
加工,jiāgōng,260
金属,jīnshǔ,261
教授,jiāoshòu,262
空气,kōngqì,263
手术,shǒushù,264
突然,tūrán,265
思想,sīxiǎng,266
神经,shénjīng,267
男子,nánzǐ,268
发生,fāshēng,269
面积,miànjī,270
机关,jīguān,271
作用,zuòyòng,272
失败,shībài,273
成绩,chéngjì,274
主要,zhǔyào,275
发挥,fāhuī,276
独立,dúlì,277
表面,biǎomiàn,278
关心,guānxīn,279
内部,nèibù,280
反应,fǎnyìng,281
品质,pǐnzhì,282
制造,zhìzào,283
相当,xiāngdāng,284
家具,jiājù,285
主张,zhǔzhāng,286
近代,jìndài,287
体育,tǐyù,288
疑问,yíwèn,289
教室,jiàoshì,290
身体,shēntǐ,291
特殊,tèshū,292
吸收,xīshōu,293
建设,jiànshè,294
正确,zhèngquè,295
证明,zhèngmíng,296
背景,bèijǐng,297
维持,wéichí,298
扩大,kuòdà,299
欢迎,huānyíng,300
记者,jìzhě,301
共同,gòngtóng,302
实验,shíyàn,303
重视,zhòngshì,304
分析,fēnxī,305
帽子,màozi,306
医学,yīxué,307
加入,jiārù,308
解决,jiějué,309
追求,zhuīqiú,310
透明,tòumíng,311
国家,guójiā,312
多少,duōshǎo,313
批判,pīpàn,314
皮肤,pífū,315
优秀,yōuxiù,316
椅子,yǐzi,317
作战,zuòzhàn,318
单位,dānwèi,319
要求,yāoqiú,320
改革,gǎigé,321
改善,gǎishàn,322
初期,chūqī,323
水分,shuǐfèn,324
天体,tiāntǐ,325
秘密,mìmì,326
开放,kāifàng,327
学习,xuéxí,328
感情,gǎnqíng,329
事情,shìqing,330
出身,chūshēn,331
劳动,láodòng,332
危险,wēixiǎn,333
血液,xuèyè,334
一定,yídìng,335
细胞,xìbāo,336
原则,yuánzé,337
习惯,xíguàn,338
地图,dìtú,339
一生,yìshēng,340
感谢,gǎnxiè,341
训练,xùnliàn,342
态度,tàidù,343
动作,dòngzuò,344
警察,jǐngchá,345
观察,guānchá,346
收入,shōurù,347
战略,zhànlüè,348
妇人,fùrén,349
保存,bǎocún,350
爱情,àiqíng,351
学院,xuéyuàn,352
规定,guīdìng,353
现象,xiànxiàng,354
胜利,shènglì,355
心理,xīnlǐ,356
成果,chéngguǒ,357
选举,xuǎnjǔ,358
牧场,mùchǎng,359
物质,wùzhì,360
会议,huìyì,361
支配,zhīpèi,362
进行,jìnxíng,363
电车,diànchē,364
认识,rènshi,365
发展,fāzhǎn,366
防止,fángzhǐ,367
意志,yìzhì,368
永远,yǒngyuǎn,369
项目,xiàngmù,370
支持,zhīchí,371
取得,qǔdé,372
政策,zhèngcè,373
成立,chénglì,374
大量,dàliàng,375
单纯,dānchún,376
否定,fǒudìng,377
异常,yìcháng,378
温度,wēndù,379
高度,gāodù,380
诗人,shīrén,381
发言,fāyán,382
反射,fǎnshè,383
民族,mínzú,384
危机,wēijī,385
兄弟,xiōngdì,386
修理,xiūlǐ,387
所有,suǒyǒu,388
进化,jìnhuà,389
保障,bǎozhàng,390
访问,fǎngwèn,391
预防,yùfáng,392
未来,wèilái,393
轨道,guǐdào,394
出现,chūxiàn,395
制作,zhìzuò,396
变动,biàndòng,397
民主,mínzhǔ,398
集团,jítuán,399
文章,wénzhāng,400
方针,fāngzhēn,401
行政,xíngzhèng,402
普及,pǔjí,403
以后,yǐhòu,404
课题,kètí,405
兴奋,xīngfèn,406
信号,xìnhào,407
增加,zēngjiā,408
报道,bàodào,409
化学,huàxué,410
外交,wàijiāo,411
巨大,jùdà,412
困难,kùnnan,413
消化,xiāohuà,414
进步,jìnbù,415
整理,zhěnglǐ,416
创造,chuàngzào,417
体力,tǐlì,418
地位,dìwèi,419
调节,tiáojié,420
统一,tǒngyī,421
描写,miáoxiě,422
应用,yìngyòng,423
革命,gémìng,424
竞争,jìngzhēng,425
强调,qiángdiào,426
交流,jiāoliú,427
混合,hùnhé,428
实践,shíjiàn,429
集合,jíhé,430
图书,túshū,431
改良,gǎiliáng,432
供给,gōngjǐ,433
减少,jiǎnshǎo,434
支援,zhīyuán,435
指示,zhǐshì,436
手段,shǒuduàn,437
促进,cùjìn,438
大气,dàqì,439
适当,shìdàng,440
疲劳,píláo,441
法律,fǎlǜ,442
解放,jiěfàng,443
强烈,qiángliè,444
幻想,huànxiǎng,445
呼吸,hūxī,446
时刻,shíkè,447
柔软,róuruǎn,448
证据,zhèngjù,449
农业,nóngyè,450
发达,fādá,451
半岛,bàndǎo,452
老人,lǎorén,453
记载,jìzǎi,454
禁止,jìnzhǐ,455
形成,xíngchéng,456
人口,rénkǒu,457
人工,réngōng,458
生物,shēngwù,459
地点,dìdiǎn,460
中间,zhōngjiān,461
破坏,pòhuài,462
博士,bóshì,463
感激,gǎnjī,464
考虑,kǎolǜ,465
混乱,hùnluàn,466
水平,shuǐpíng,467
创立,chuànglì,468
帝国,dìguó,469
投入,tóurù,470
日记,rìjì,471
有利,yǒulì,472
一旦,yídàn,473
一致,yízhì,474
学者,xuézhě,475
教师,jiàoshī,476
经过,jīngguò,477
原理,yuánlǐ,478
公共,gōnggòng,479
幸福,xìngfú,480
思考,sīkǎo,481
将军,jiāngjūn,482
宣传,xuānchuán,483
爱好,àihào,484
角度,jiǎodù,485
结论,jiélùn,486
商人,shāngrén,487
商店,shāngdiàn,488
消耗,xiāohào,489
招待,zhāodài,490
深刻,shēnkè,491
振动,zhèndòng,492
电力,diànlì,493
热心,rèxīn,494
年代,niándài,495
官僚,guānliáo,496
光景,guāngjǐng,497
合成,héchéng,498
色彩,sècǎi,499
死亡,sǐwáng,500
若干,ruògān,501
亲切,qīnqiè,502
人类,rénlèi,503
石油,shíyóu,504
鲜明,xiānmíng,505
体系,tǐxì,506
停止,tíngzhǐ,507
平行,píngxíng,508
贸易,màoyì,509
明确,míngquè,510
违反,wéifǎn,511
区别,qūbié,512
继续,jìxù,513
原料,yuánliào,514
古代,gǔdài,515
顾客,gùkè,516
根本,gēnběn,517
自治,zìzhì,518
首都,shǒudū,519
推进,tuījìn,520
势力,shìlì,521
创作,chuàngzuò,522
适应,shìyìng,523
同一,tóngyī,524
爆发,bàofā,525
分解,fēnjiě,526
修正,xiūzhèng,527
接触,jiēchù,528
宣言,xuānyán,529
大战,dàzhàn,530
有力,yǒulì,531
开幕,kāimù,532
觉悟,juéwù,533
过程,guòchéng,534
居住,jūzhù,535
偶然,ǒurán,536
地震,dìzhèn,537
资本,zīběn,538
政党,zhèngdǎng,539
对立,duìlì,540
大众,dàzhòng,541
大地,dàdì,542
通过,tōngguò,543
动力,dònglì,544
农药,nóngyào,545
犯罪,fànzuì,546
武器,wǔqì,547
部长,bùzhǎng,548
压力,yālì,549
气压,qìyā,550
结合,jiéhé,551
公式,gōngshì,552
财产,cáichǎn,553
重大,zhòngdà,554
接近,jiējìn,555
大陆,dàlù,556
适合,shìhé,557
反映,fǎnyìng,558
分布,fēnbù,559
卫星,wèixīng,560
确定,quèdìng,561
可怜,kělián,562
气象,qìxiàng,563
义务,yìwù,564
形态,xíngtài,565
差别,chābié,566
性质,xìngzhì,567
地形,dìxíng,568
动机,dòngjī,569
东南,dōngnán,570
平等,píngděng,571
勇气,yǒngqì,572
英雄,yīngxióng,573
改正,gǎizhèng,574
学问,xuéwen,575
基地,jīdì,576
军事,jūnshì,577
权利,quánlì,578
紧急,jǐnjí,579
个别,gèbié,580
行为,xíngwéi,581
后悔,hòuhuǐ,582
皇帝,huángdì,583
根据,gēnjù,584
食堂,shítáng,585
垂直,chuízhí,586
睡眠,shuìmián,587
占领,zhànlǐng,588
尊敬,zūnjìng,589
损害,sǔnhài,590
热带,rèdài,591
无限,wúxiàn,592
愉快,yúkuài,593
伟大,wěidà,594
一带,yídài,595
解释,jiěshì,596
干部,gànbù,597
气温,qìwēn,598
空中,kōngzhōng,599
抗议,kàngyì,600
工作,gōngzuò,601
昆虫,kūnchóng,602
缩小,suōxiǎo,603
出生,chūshēng,604
伤害,shānghài,605
消灭,xiāomiè,606
西部,xībù,607
节约,jiéyuē,608
地面,dìmiàn,609
统计,tǒngjì,610
到达,dàodá,611
读书,dúshū,612
农村,nóngcūn,613
不幸,búxìng,614
武装,wǔzhuāng,615
民众,mínzhòng,616
意义,yìyì,617
各自,gèzì,618
讲义,jiǎngyì,619
数学,shùxué,620
生存,shēngcún,621
地带,dìdài,622
秩序,zhìxù,623
部队,bùduì,624
分裂,fēnliè,625
容器,róngqì,626
观念,guānniàn,627
气候,qìhòu,628
刑事,xíngshì,629
继承,jìchéng,630
财政,cáizhèng,631
少数,shǎoshù,632
条约,tiáoyuē,633
人体,réntǐ,634
进入,jìnrù,635
正式,zhèngshì,636
电压,diànyā,637
必须,bìxū,638
分量,fènliàng,639
兵士,bīngshì,640
平凡,píngfán,641
万一,wànyī,642
命令,mìnglìng,643
猛烈,měngliè,644
预报,yùbào,645
观点,guāndiǎn,646
军人,jūnrén,647
宪法,xiànfǎ,648
山地,shāndì,649
所在,suǒzài,650
相互,xiānghù,651
总理,zǒnglǐ,652
尊重,zūnzhòng,653
电流,diànliú,654
同意,tóngyì,655
比例,bǐlì,656
分配,fēnpèi,657
木材,mùcái,658
