word,kana,sound,numbering
時間,じかん,jikan,1
価格,かかく,kakaku,2
電話,でんわ,denwa,3
世界,せかい,sekai,4
以上,いじょう,ijou,5
商品,しょうひん,shouhin,6
時代,じだい,jidai,7
作品,さくひん,sakuhin,8
必要,ひつよう,hitsuyou,9
自然,しぜん,shizen,10
使用,しよう,shiyou,11
音楽,おんがく,ongaku,12
生活,せいかつ,seikatsu,13
問題,もんだい,mondai,14
可能,かのう,kanou,15
関係,かんけい,kankei,16
現在,げんざい,genzai,17
大学,だいがく,daigaku,18
利用,りよう,riyou,19
効果,こうか,kouka,20
部分,ぶぶん,bubun,21
方法,ほうほう,houhou,22
営業,えいぎょう,eigyou,23
情報,じょうほう,jouhou,24
特別,とくべつ,tokubetsu,25
希望,きぼう,kibou,26
文化,ぶんか,bunka,27
技術,ぎじゅつ,gijutsu,28
基本,きほん,kihon,29
意味,いみ,imi,30
自動,じどう,jidou,31
内容,ないよう,naiyou,32
自由,じゆう,jiyuu,33
簡単,かんたん,kantan,34
中心,ちゅうしん,chuushin,35
最近,さいきん,saikin,36
参加,さんか,sanka,37
結婚,けっこん,kekkon,38
一般,いっぱん,ippan,39
社会,しゃかい,shakai,40
保険,ほけん,hoken,41
学校,がっこう,gakkou,42
開発,かいはつ,kaihatsu,43
先生,せんせい,sensei,44
程度,ていど,teido,45
大会,たいかい,taikai,46
発表,はっぴょう,happyou,47
印象,いんしょう,inshou,48
結果,けっか,kekka,49
存在,そんざい,sonzai,50
最初,さいしょ,saisho,51
装備,そうび,soubi,52
消費,しょうひ,shouhi,53
採用,さいよう,saiyou,54
全体,ぜんたい,zentai,55
飛行,ひこうき,hikouki,56
国際,こくさい,kokusai,57
企業,きぎょう,kigyou,58
専門,せんもん,senmon,59
中央,ちゅうおう,chuuou,60
普通,ふつう,futsuu,61
経済,けいざい,keizai,62
現代,げんだい,gendai,63
当時,とうじ,touji,64
実際,じっさい,jissai,65
学生,がくせい,gakusei,66
銀行,ぎんこう,ginkou,67
旅行,りょこう,ryokou,68
以下,いか,ika,69
説明,せつめい,setsumei,70
感覚,かんかく,kankaku,71
経験,けいけん,keiken,72
活躍,かつやく,katsuyaku,73
代表,だいひょう,daihyou,74
通信,つうしん,tsuushin,75
主人,しゅじん,shujin,76
安心,あんしん,anshin,77
以外,いがい,igai,78
表現,ひょうげん,hyougen,79
意識,いしき,ishiki,80
非常,ひじょう,hijou,81
活動,かつどう,katsudou,82
運動,うんどう,undou,83
新聞,しんぶん,shinbun,84
理由,りゆう,riyuu,85
指導,しどう,shidou,86
実現,じつげん,jitsugen,87
家庭,かてい,katei,88
変化,へんか,henka,89
位置,いち,ichi,90
種類,しゅるい,shurui,91
完全,かんぜん,kanzen,92
資料,しりょう,shiryou,93
同時,どうじ,douji,94
個人,こじん,kojin,95
政治,せいじ,seiji,96
完成,かんせい,kansei,97
設計,せっけい,sekkei,98
表示,ひょうじ,hyouji,99
芸術,げいじゅつ,geijutsu,100
発行,はっこう,hakkou,101
決定,けってい,kettei,102
重要,じゅうよう,juuyou,103
評価,ひょうか,hyouka,104
是非,ぜひ,zehi,105
方式,ほうしき,houshiki,106
有名,ゆうめい,yuumei,107
製品,せいひん,seihin,108
当然,とうぜん,touzen,109
目的,もくてき,mokuteki,110
材料,ざいりょう,zairyou,111
時期,じき,jiki,112
注意,ちゅうい,chuui,113
伝統,でんとう,dentou,114
以前,いぜん,izen,115
処理,しょり,shori,116
能力,のうりょく,nouryoku,117
方向,ほうこう,houkou,118
交通,こうつう,koutsuu,119
読者,どくしゃ,dokusha,120
豊富,ほうふ,houfu,121
季節,きせつ,kisetsu,122
世紀,せいき,seiki,123
構成,こうせい,kousei,124
原因,げんいん,gen'in,125
食品,しょくひん,shokuhin,126
直接,ちょくせつ,chokusetsu,127
平均,へいきん,heikin,128
美術,びじゅつ,bijutsu,129
教育,きょういく,kyouiku,130
事業,じぎょう,jigyou,131
事実,じじつ,jijitsu,132
文字,もじ,moji,133
事件,じけん,jiken,134
請求,せいきゅう,seikyuu,135
対象,たいしょう,taishou,136
安定,あんてい,antei,137
安全,あんぜん,anzen,138
管理,かんり,kanri,139
以来,いらい,irai,140
選択,せんたく,sentaku,141
誕生,たんじょう,tanjou,142
地区,ちく,chiku,143
指揮,しき,shiki,144
女子,じょし,joshi,145
地方,ちほう,chihou,146
展開,てんかい,tenkai,147
有効,ゆうこう,yuukou,148
成分,せいぶん,seibun,149
構造,こうぞう,kouzou,150
成功,せいこう,seikou,151
精神,せいしん,seishin,152
実施,じっし,jisshi,153
演出,えんしゅつ,enshutsu,154
観測,かんそく,kansoku,155
生産,せいさん,seisan,156
理解,りかい,rikai,157
出版,しゅっぱん,shuppan,158
調整,ちょうせい,chousei,159
交換,こうかん,koukan,160
前後,ぜんご,zengo,161
少年,しょうねん,shounen,162
費用,ひよう,hiyou,163
日常,にちじょう,nichijou,164
作業,さぎょう,sagyou,165
集中,しゅうちゅう,shuuchuu,166
小説,しょうせつ,shousetsu,167
全部,ぜんぶ,zenbu,168
現実,げんじつ,genjitsu,169
個性,こせい,kosei,170
比較,ひかく,hikaku,171
表情,ひょうじょう,hyoujou,172
経営,けいえい,keiei,173
市場,しじょう,shijou,174
職業,しょくぎょう,shokugyou,175
不安,ふあん,fuan,176
外国,がいこく,gaikoku,177
各種,かくしゅ,kakushu,178
将来,しょうらい,shourai,179
戦争,せんそう,sensou,180
成長,せいちょう,seichou,181
公園,こうえん,kouen,182
治療,ちりょう,chiryou,183
自信,じしん,jishin,184
満足,まんぞく,manzoku,185
傾向,けいこう,keikou,186
作家,さっか,sakka,187
電子,でんし,denshi,188
過去,かこ,kako,189
空間,くうかん,kuukan,190
生命,せいめい,seimei,191
道路,どうろ,douro,192
意見,いけん,iken,193
記憶,きおく,kioku,194
操作,そうさ,sousa,195
書店,しょてん,shoten,196
計算,けいさん,keisan,197
地球,ちきゅう,chikyuu,198
責任,せきにん,sekinin,199
目標,もくひょう,mokuhyou,200
左右,さゆう,sayuu,201
政府,せいふ,seifu,202
配合,はいごう,haigou,203
行動,こうどう,koudou,204
国民,こくみん,kokumin,205
文学,ぶんがく,bungaku,206
感動,かんどう,kandou,207
新鮮,しんせん,shinsen,208
地下,ちか,chika,209
形式,けいしき,keishiki,210
公開,こうかい,koukai,211
事故,じこ,jiko,212
積極,せっきょく,sekkyoku,213
製作,せいさく,seisaku,214
天然,てんねん,ten'nen,215
移動,いどう,idou,216
動物,どうぶつ,doubutsu,217
不足,ふそく,fusoku,218
科学,かがく,kagaku,219
太陽,たいよう,taiyou,220
燃料,ねんりょう,nenryou,221
工夫,くふう,kufuu,222
数字,すうじ,suuji,223
工業,こうぎょう,kougyou,224
参考,さんこう,sankou,225
性格,せいかく,seikaku,226
実行,じっこう,jikkou,227
速度,そくど,sokudo,228
努力,どりょく,doryoku,229
理想,りそう,risou,230
機会,きかい,kikai,231
出発,しゅっぱつ,shuppatsu,232
植物,しょくぶつ,shokubutsu,233
豆腐,とうふ,toufu,234
記録,きろく,kiroku,235
詳細,しょうさい,shousai,236
政権,せいけん,seiken,237
風景,ふうけい,fuukei,238
報告,ほうこく,houkoku,239
建築,けんちく,kenchiku,240
判断,はんだん,handan,241
反対,はんたい,hantai,242
業務,ぎょうむ,gyoumu,243
自己,じこ,jiko,244
少女,しょうじょ,shoujo,245
知識,ちしき,chishiki,246
土地,とち,tochi,247
保護,ほご,hogo,248
医療,いりょう,iryou,249
確実,かくじつ,kakujitsu,250
設備,せつび,setsubi,251
基礎,きそ,kiso,252
宇宙,うちゅう,uchuu,253
高原,こうげん,kougen,254
制度,せいど,seido,255
本来,ほんらい,honrai,256
姿勢,しせい,shisei,257
固定,こてい,kotei,258
団体,だんたい,dantai,259
加工,かこう,kakou,260
金属,きんぞく,kinzoku,261
教授,きょうじゅ,kyouju,262
空気,くうき,kuuki,263
手術,しゅじゅつ,shujutsu,264
突然,とつぜん,totsuzen,265
思想,しそう,shisou,266
神経,しんけい,shinkei,267
男子,だんし,danshi,268
発生,はっせい,hassei,269
面積,めんせき,menseki,270
機関,きかん,kikan,271
作用,さよう,sayou,272
失敗,しっぱい,shippai,273
成績,せいせき,seiseki,274
主要,しゅよう,shuyou,275
発揮,はっき,hakki,276
独立,どくりつ,dokuritsu,277
表面,ひょうめん,hyoumen,278
関心,かんしん,kanshin,279
内部,ないぶ,naibu,280
反応,はんのう,han'nou,281
品質,ひんしつ,hinshitsu,282
製造,せいぞう,seizou,283
相当,そうとう,soutou,284
家具,かぐ,kagu,285
主張,しゅちょう,shuchou,286
近代,きんだい,kindai,287
体育,たいいく,taiiku,288
疑問,ぎもん,gimon,289
教室,きょうしつ,kyoushitsu,290
身体,しんたい,shintai,291
特殊,とくしゅ,tokushu,292
吸収,きゅうしゅう,kyuushuu,293
建設,けんせつ,kensetsu,294
正確,せいかく,seikaku,295
証明,しょうめい,shoumei,296
背景,はいけい,haikei,297
維持,いじ,iji,298
拡大,かくだい,kakudai,299
歓迎,かんげい,kangei,300
記者,きしゃ,kisha,301
共同,きょうどう,kyoudou,302
実験,じっけん,jikken,303
重視,じゅうし,juushi,304
分析,ぶんせき,bunseki,305
帽子,ぼうし,boushi,306
医学,いがく,igaku,307
加入,かにゅう,kanyuu,308
解決,かいけつ,kaiketsu,309
追求,ついきゅう,tsuikyuu,310
透明,とうめい,toumei,311
国家,こっか,kokka,312
多少,たしょう,tashou,313
批判,ひはん,hihan,314
皮膚,ひふ,hifu,315
優秀,ゆうしゅう,yuushuu,316
椅子,いす,isu,317
作戦,さくせん,sakusen,318
単位,たんい,tan'i,319
要求,ようきゅう,youkyuu,320
改革,かいかく,kaikaku,321
改善,かいぜん,kaizen,322
初期,しょき,shoki,323
水分,すいぶん,suibun,324
天体,てんたい,tentai,325
秘密,ひみつ,himitsu,326
開放,かいほう,kaihou,327
学習,がくしゅう,gakushuu,328
感情,かんじょう,kanjou,329
事情,じじょう,jijou,330
出身,しゅっしん,shusshin,331
労働,ろうどう,roudou,332
危険,きけん,kiken,333
血液,けつえき,ketsueki,334
一定,いってい,ittei,335
細胞,さいぼう,saibou,336
原則,げんそく,gensoku,337
習慣,しゅうかん,shuukan,338
地図,ちず,chizu,339
一生,いっしょう,isshou,340
感謝,かんしゃ,kansha,341
訓練,くんれん,kunren,342
態度,たいど,taido,343
動作,どうさ,dousa,344
警察,けいさつ,keisatsu,345
観察,かんさつ,kansatsu,346
収入,しゅうにゅう,shuunyuu,347
戦略,せんりゃく,senryaku,348
婦人,ふじん,fujin,349
保存,ほぞん,hozon,350
愛情,あいじょう,aijou,351
学院,がくいん,gakuin,352
規定,きてい,kitei,353
現象,げんしょう,genshou,354
勝利,しょうり,shouri,355
心理,しんり,shinri,356
成果,せいか,seika,357
選挙,せんきょ,senkyo,358
牧場,ぼくじょう,bokujou,359
物質,ぶっしつ,busshitsu,360
会議,かいぎ,kaigi,361
支配,しはい,shihai,362
進行,しんこう,shinkou,363
電車,でんしゃ,densha,364
認識,にんしき,ninshiki,365
発展,はってん,hatten,366
防止,ぼうし,boushi,367
意志,いし,ishi,368
永遠,えいえん,eien,369
項目,こうもく,koumoku,370
支持,しじ,shiji,371
取得,しゅとく,shutoku,372
政策,せいさく,seisaku,373
成立,せいりつ,seiritsu,374
大量,たいりょう,tairyou,375
単純,たんじゅん,tanjun,376
否定,ひてい,hitei,377
異常,いじょう,ijou,378
温度,おんど,ondo,379
高度,こうど,koudo,380
詩人,しじん,shijin,381
発言,はつげん,hatsugen,382
反射,はんしゃ,hansha,383
民族,みんぞく,minzoku,384
危機,きき,kiki,385
兄弟,きょうだい,kyoudai,386
修理,しゅうり,shuuri,387
所有,しょゆう,shoyuu,388
進化,しんか,shinka,389
保障,ほしょう,hoshou,390
訪問,ほうもん,houmon,391
予防,よぼう,yobou,392
未来,みらい,mirai,393
軌道,きどう,kidou,394
出現,しゅつげん,shutsugen,395
制作,せいさく,seisaku,396
変動,へんどう,hendou,397
民主,みんしゅ,minshu,398
集団,しゅうだん,shuudan,399
文章,ぶんしょう,bunshou,400
方針,ほうしん,houshin,401
行政,ぎょうせい,gyousei,402
普及,ふきゅう,fukyuu,403
以後,いご,igo,404
課題,かだい,kadai,405
興奮,こうふん,koufun,406
信号,しんごう,shingou,407
増加,ぞうか,zouka,408
報道,ほうどう,houdou,409
化学,かがく,kagaku,410
外交,がいこう,gaikou,411
巨大,きょだい,kyodai,412
困難,こんなん,kon'nan,413
消化,しょうか,shouka,414
進歩,しんぽ,shinpo,415
整理,せいり,seiri,416
創造,そうぞう,souzou,417
体力,たいりょく,tairyoku,418
地位,ちい,chii,419
調節,ちょうせつ,chousetsu,420
統一,とういつ,touitsu,421
描写,びょうしゃ,byousha,422
応用,おうよう,ouyou,423
革命,かくめい,kakumei,424
競争,きょうそう,kyousou,425
強調,きょうちょう,kyouchou,426
交流,こうりゅう,kouryuu,427
混合,こんごう,kongou,428
実践,じっせん,jissen,429
集合,しゅうごう,shuugou,430
図書,としょ,tosho,431
改良,かいりょう,kairyou,432
供給,きょうきゅう,kyoukyuu,433
減少,げんしょう,genshou,434
支援,しえん,shien,435
指示,しじ,shiji,436
手段,しゅだん,shudan,437
促進,そくしん,sokushin,438
大気,たいき,taiki,439
適当,てきとう,tekitou,440
疲労,ひろう,hirou,441
法律,ほうりつ,houritsu,442
解放,かいほう,kaihou,443
強烈,きょうれつ,kyouretsu,444
幻想,げんそう,gensou,445
呼吸,こきゅう,kokyuu,446
時刻,じこく,jikoku,447
柔軟,じゅうなん,juunan,448
証拠,しょうこ,shouko,449
農業,のうぎょう,nougyou,450
発達,はったつ,hattatsu,451
半島,はんとう,hantou,452
老人,ろうじん,roujin,453
記載,きさい,kisai,454
禁止,きんし,kinshi,455
形成,けいせい,keisei,456
人口,じんこう,jinkou,457
人工,じんこう,jinkou,458
生物,せいぶつ,seibutsu,459
地点,ちてん,chiten,460
中間,ちゅうかん,chuukan,461
破壊,はかい,hakai,462
博士,はくし・はかせ,hakushi・hakase,463
感激,かんげき,kangeki,464
考慮,こうりょ,kouryo,465
混乱,こんらん,konran,466
水平,すいへい,suihei,467
創立,そうりつ,souritsu,468
帝国,ていこく,teikoku,469
投入,とうにゅう,tounyuu,470
日記,にっき,nikki,471
有利,ゆうり,yuuri,472
一旦,いったん,ittan,473
一致,いっち,icchi,474
学者,がくしゃ,gakusha,475
教師,きょうし,kyoushi,476
経過,けいか,keika,477
原理,げんり,genri,478
公共,こうきょう,koukyou,479
幸福,こうふく,koufuku,480
思考,しこう,shikou,481
将軍,しょうぐん,shougun,482
宣伝,せんでん,senden,483
愛好,あいこう,aikou,484
角度,かくど,kakudo,485
結論,けつろん,ketsuron,486
商人,しょうにん,shounin,487
商店,しょうてん,shouten,488
消耗,しょうもう,shoumou,489
招待,しょうたい,shoutai,490
深刻,しんこく,shinkoku,491
振動,しんどう,shindou,492
電力,でんりょく,denryoku,493
熱心,ねっしん,nesshin,494
年代,ねんだい,nendai,495
官僚,かんりょう,kanryou,496
光景,こうけい,koukei,497
合成,ごうせい,gousei,498
色彩,しきさい,shikisai,499
死亡,しぼう,shibou,500
若干,じゃっかん,jakkan,501
親切,しんせつ,shinsetsu,502
人類,じんるい,jinrui,503
石油,せきゆ,sekiyu,504
鮮明,せんめい,senmei,505
体系,たいけい,taikei,506
停止,ていし,teishi,507
平行,へいこう,heikou,508
貿易,ぼうえき,boueki,509
明確,めいかく,meikaku,510
違反,いはん,ihan,511
区別,くべつ,kubetsu,512
継続,けいぞく,keizoku,513
原料,げんりょう,genryou,514
古代,こだい,kodai,515
顧客,こきゃく,kokyaku,516
根本,こんぽん,konpon,517
自治,じち,jichi,518
首都,しゅと,shuto,519
推進,すいしん,suishin,520
勢力,せいりょく,seiryoku,521
創作,そうさく,sousaku,522
適応,てきおう,tekiou,523
同一,どういつ,douitsu,524
爆発,ばくはつ,bakuhatsu,525
分解,ぶんかい,bunkai,526
修正,しゅうせい,shuusei,527
接触,せっしょく,sesshoku,528
宣言,せんげん,sengen,529
大戦,たいせん,taisen,530
有力,ゆうりょく,yuuryoku,531
開幕,かいまく,kaimaku,532
覚悟,かくご,kakugo,533
過程,かてい,katei,534
居住,きょじゅう,kyojuu,535
偶然,ぐうぜん,guuzen,536
地震,じしん,jishin,537
資本,しほん,shihon,538
政党,せいとう,seitou,539
対立,たいりつ,tairitsu,540
大衆,たいしゅう,taishuu,541
大地,だいち,daichi,542
通過,つうか,tsuuka,543
動力,どうりょく,douryoku,544
農薬,のうやく,nouyaku,545
犯罪,はんざい,hanzai,546
武器,ぶき,buki,547
部長,ぶちょう,buchou,548
圧力,あつりょく,atsuryoku,549
気圧,きあつ,kiatsu,550
結合,けつごう,ketsugou,551
公式,こうしき,koushiki,552
財産,ざいさん,zaisan,553
重大,じゅうだい,juudai,554
接近,せっきん,sekkin,555
大陸,たいりく,tairiku,556
適合,てきごう,tekigou,557
反映,はんえい,hane’i,558
分布,ぶんぷ,bunpu,559
衛星,えいせい,eisei,560
確定,かくてい,kakutei,561
可憐,かれん,karen,562
気象,きしょう,kishou,563
義務,ぎむ,gimu,564
形態,けいたい,keitai,565
差別,さべつ,sabetsu,566
性質,せいしつ,seishitsu,567
地形,ちけい,chikei,568
動機,どうき,douki,569
東南,とうなん,tounan,570
平等,びょうどう,byoudou,571
勇気,ゆうき,yuuki,572
英雄,えいゆう,eiyuu,573
改正,かいせい,kaisei,574
学問,がくもん,gakumon,575
基地,きち,kichi,576
軍事,ぐんじ,gunji,577
権利,けんり,kenri,578
緊急,きんきゅう,kinkyuu,579
個別,こべつ,kobetsu,580
行為,こうい,koui,581
後悔,こうかい,koukai,582
皇帝,こうてい,koutei,583
根拠,こんきょ,konkyo,584
食堂,しょくどう,shokudou,585
垂直,すいちょく,suichoku,586
睡眠,すいみん,suimin,587
占領,せんりょう,senryou,588
尊敬,そんけい,sonkei,589
損害,そんがい,songai,590
熱帯,ねったい,nettai,591
無限,むげん,mugen,592
愉快,ゆかい,yukai,593
偉大,いだい,idai,594
一帯,いったい,ittai,595
解釈,かいしゃく,kaishaku,596
幹部,かんぶ,kanbu,597
気温,きおん,kion,598
空中,くうちゅう,kuuchuu,599
抗議,こうぎ,kougi,600
工作,こうさく,kousaku,601
昆虫,こんちゅう,konchuu,602
縮小,しゅくしょう,shukushou,603
出生,しゅっせい,shussei,604
傷害,しょうがい,shougai,605
消滅,しょうめつ,shoumetsu,606
西部,せいぶ,seibu,607
節約,せつやく,setsuyaku,608
地面,じめん,jimen,609
統計,とうけい,toukei,610
到達,とうたつ,toutatsu,611
読書,どくしょ,dokusho,612
農村,のうそん,nouson,613
不幸,ふこう,fukou,614
武装,ぶそう,busou,615
民衆,みんしゅう,minshuu,616
意義,いぎ,igi,617
各自,かくじ,kakuji,618
講義,こうぎ,kougi,619
数学,すうがく,suugaku,620
生存,せいぞん,seizon,621
地帯,ちたい,chitai,622
秩序,ちつじょ,chitsujo,623
部隊,ぶたい,butai,624
分裂,ぶんれつ,bunretsu,625
容器,ようき,youki,626
観念,かんねん,kann’en,627
気候,きこう,kikou,628
刑事,けいじ,keiji,629
継承,けいしょう,keishou,630
財政,ざいせい,zaisei,631
少数,しょうすう,shousuu,632
条約,じょうやく,jouyaku,633
人体,じんたい,jintai,634
進入,しんにゅう,shinn’yuu,635
正式,せいしき,seishiki,636
電圧,でんあつ,den'atsu,637
必須,ひっす,hissu,638
分量,ぶんりょう,bunryou,639
兵士,へいし,heishi,640
平凡,へいぼん,heibon,641
万一,まんいち,manic’hi,642
命令,めいれい,meirei,643
猛烈,もうれつ,mouretsu,644
予報,よほう,yohou,645
観点,かんてん,kanten,646
軍人,ぐんじん,gunjin,647
憲法,けんぽう,kenpou,648
山地,さんち,sanchi,649
所在,しょざい,shozai,650
相互,そうご,sougo,651
総理,そうり,souri,652
尊重,そんちょう,sonchou,653
電流,でんりゅう,denryuu,654
同意,どうい,doui,655
比例,ひれい,hirei,656
分配,ぶんぱい,bunpai,657
木材,もくざい,mokuzai,658
